Date	    Contract	    Units	    $Volume	    LowPrice	    HighPrice	    AvgPrice	    LastPrice
06/23/00	    Rep	2	1.000	0.500	0.500	0.500	0.500
06/24/00	    Dem	0	0.000	0.000	0.000		0.510
06/24/00	    Reform	0	0.000	0.000	0.000		0.006
06/24/00	    Rep	0	0.000	0.000	0.000		0.500
06/25/00	    Dem	0	0.000	0.000	0.000		0.510
06/25/00	    Reform	0	0.000	0.000	0.000		0.006
06/25/00	    Rep	25	12.588	0.488	0.507	0.504	0.488
06/26/00	    Dem	78	39.684	0.499	0.515	0.509	0.515
06/26/00	    Reform	35	0.140	0.004	0.004	0.004	0.004
06/26/00	    Rep	49	24.234	0.490	0.506	0.495	0.498
06/27/00	    Dem	238	118.487	0.486	0.506	0.498	0.500
06/27/00	    Reform	99	0.598	0.004	0.008	0.006	0.005
06/27/00	    Rep	340	173.824	0.498	0.515	0.511	0.510
06/28/00	    Dem	56	27.064	0.454	0.490	0.483	0.454
06/28/00	    Reform	59	0.297	0.005	0.007	0.005	0.005
06/28/00	    Rep	85	43.816	0.510	0.520	0.515	0.520
06/29/00	    Dem	16	7.734	0.481	0.484	0.483	0.484
06/29/00	    Reform	0	0.000	0.000	0.000		0.005
06/29/00	    Rep	4	2.080	0.520	0.520	0.520	0.520
06/30/00	    Dem	73	35.040	0.480	0.480	0.480	0.480
06/30/00	    Reform	117	0.483	0.004	0.007	0.004	0.007
06/30/00	    Rep	102	52.648	0.515	0.519	0.516	0.515
07/01/00	    Dem	0	0.000	0.000	0.000		0.480
07/01/00	    Reform	49	0.338	0.005	0.008	0.007	0.005
07/01/00	    Rep	41	21.448	0.519	0.540	0.523	0.540
07/02/00	    Dem	2	0.940	0.470	0.470	0.470	0.470
07/02/00	    Reform	4	0.026	0.005	0.008	0.007	0.005
07/02/00	    Rep	2	1.074	0.537	0.537	0.537	0.537
07/03/00	    Dem	107	50.006	0.465	0.480	0.467	0.465
07/03/00	    Reform	0	0.000	0.000	0.000		0.005
07/03/00	    Rep	110	58.298	0.529	0.530	0.530	0.530
07/04/00	    Dem	1	0.476	0.476	0.476	0.476	0.476
07/04/00	    Reform	0	0.000	0.000	0.000		0.005
07/04/00	    Rep	0	0.000	0.000	0.000		0.530
07/05/00	    Dem	2	0.950	0.475	0.475	0.475	0.475
07/05/00	    Reform	0	0.000	0.000	0.000		0.005
07/05/00	    Rep	132	69.486	0.523	0.533	0.526	0.533
07/06/00	    Dem	153	72.272	0.470	0.474	0.472	0.474
07/06/00	    Reform	50	0.250	0.005	0.005	0.005	0.005
07/06/00	    Rep	4	2.128	0.532	0.532	0.532	0.532
07/07/00	    Dem	5	2.360	0.472	0.472	0.472	0.472
07/07/00	    Reform	30	0.150	0.005	0.005	0.005	0.005
07/07/00	    Rep	50	26.250	0.525	0.525	0.525	0.525
07/08/00	    Dem	20	9.400	0.470	0.470	0.470	0.470
07/08/00	    Reform	28	0.140	0.005	0.005	0.005	0.005
07/08/00	    Rep	13	6.812	0.524	0.524	0.524	0.524
07/09/00	    Dem	17	8.014	0.470	0.472	0.471	0.472
07/09/00	    Reform	47	0.277	0.005	0.006	0.006	0.006
07/09/00	    Rep	0	0.000	0.000	0.000		0.524
07/10/00	    Dem	114	53.096	0.465	0.473	0.466	0.473
07/10/00	    Reform	131	0.655	0.005	0.005	0.005	0.005
07/10/00	    Rep	9	4.776	0.530	0.532	0.531	0.532
07/11/00	    Dem	26	12.215	0.468	0.473	0.470	0.473
07/11/00	    Reform	2	0.010	0.005	0.005	0.005	0.005
07/11/00	    Rep	2	1.050	0.525	0.525	0.525	0.525
07/12/00	    Dem	154	73.200	0.473	0.480	0.475	0.475
07/12/00	    Reform	108	0.540	0.005	0.005	0.005	0.005
07/12/00	    Rep	113	58.960	0.520	0.532	0.522	0.520
07/13/00	    Dem	931	492.211	0.488	0.550	0.529	0.540
07/13/00	    Reform	443	2.215	0.005	0.005	0.005	0.005
07/13/00	    Rep	121	61.355	0.485	0.516	0.507	0.485
07/14/00	    Dem	1	0.480	0.480	0.480	0.480	0.480
07/14/00	    Reform	32	0.160	0.005	0.005	0.005	0.005
07/14/00	    Rep	6	3.060	0.510	0.510	0.510	0.510
07/15/00	    Dem	75	36.970	0.490	0.500	0.493	0.500
07/15/00	    Reform	233	1.681	0.005	0.008	0.007	0.005
07/15/00	    Rep	20	9.990	0.497	0.502	0.500	0.502
07/16/00	    Dem	25	12.610	0.499	0.508	0.504	0.508
07/16/00	    Reform	130	0.730	0.005	0.008	0.006	0.007
07/16/00	    Rep	70	34.810	0.494	0.500	0.497	0.500
07/17/00	    Dem	87	43.330	0.495	0.504	0.498	0.500
07/17/00	    Reform	204	1.060	0.005	0.006	0.005	0.005
07/17/00	    Rep	182	90.172	0.493	0.501	0.495	0.498
07/18/00	    Dem	13	6.497	0.499	0.500	0.500	0.500
07/18/00	    Reform	5	0.025	0.005	0.005	0.005	0.005
07/18/00	    Rep	61	30.560	0.500	0.502	0.501	0.501
07/19/00	    Dem	48	24.013	0.497	0.502	0.500	0.500
07/19/00	    Reform	5	0.025	0.005	0.005	0.005	0.005
07/19/00	    Rep	50	25.000	0.500	0.500	0.500	0.500
07/20/00	    Dem	1,374	590.915	0.400	0.493	0.430	0.475
07/20/00	    Reform	1,418	9.091	0.005	0.014	0.006	0.008
07/20/00	    Rep	1,025	533.391	0.501	0.560	0.520	0.515
07/21/00	    Dem	182	86.622	0.435	0.499	0.476	0.499
07/21/00	    Reform	56	0.304	0.005	0.008	0.005	0.005
07/21/00	    Rep	48	24.718	0.510	0.535	0.515	0.535
07/22/00	    Dem	7	3.432	0.488	0.499	0.490	0.499
07/22/00	    Reform	13	0.086	0.005	0.012	0.007	0.005
07/22/00	    Rep	39	20.359	0.504	0.535	0.522	0.510
07/23/00	    Dem	0	0.000	0.000	0.000		0.499
07/23/00	    Reform	0	0.000	0.000	0.000		0.005
07/23/00	    Rep	4	2.018	0.504	0.505	0.504	0.504
07/24/00	    Dem	47	22.970	0.478	0.493	0.489	0.478
07/24/00	    Reform	33	0.250	0.006	0.009	0.008	0.006
07/24/00	    Rep	131	67.537	0.497	0.520	0.516	0.520
07/25/00	    Dem	63	30.398	0.481	0.488	0.483	0.482
07/25/00	    Reform	8	0.040	0.005	0.005	0.005	0.005
07/25/00	    Rep	8	4.120	0.515	0.515	0.515	0.515
07/26/00	    Dem	64	30.449	0.475	0.482	0.476	0.475
07/26/00	    Reform	218	1.190	0.005	0.006	0.005	0.006
07/26/00	    Rep	52	27.046	0.516	0.523	0.520	0.523
07/27/00	    Dem	81	39.551	0.480	0.491	0.488	0.491
07/27/00	    Reform	369	1.948	0.005	0.009	0.005	0.005
07/27/00	    Rep	293	149.912	0.495	0.539	0.512	0.495
07/28/00	    Dem	136	66.055	0.475	0.494	0.486	0.475
07/28/00	    Reform	0	0.000	0.000	0.000		0.005
07/28/00	    Rep	18	9.179	0.503	0.525	0.510	0.506
07/29/00	    Dem	425	195.545	0.450	0.476	0.460	0.460
07/29/00	    Reform	100	0.530	0.005	0.006	0.005	0.005
07/29/00	    Rep	455	246.055	0.525	0.550	0.541	0.535
07/30/00	    Dem	0	0.000	0.000	0.000		0.460
07/30/00	    Reform	40	0.200	0.005	0.005	0.005	0.005
07/30/00	    Rep	40	21.190	0.520	0.540	0.530	0.525
07/31/00	    Dem	35	16.440	0.463	0.473	0.470	0.463
07/31/00	    Reform	11	0.055	0.005	0.005	0.005	0.005
07/31/00	    Rep	88	46.382	0.524	0.536	0.527	0.536
08/01/00	    Dem	82	38.684	0.470	0.474	0.472	0.472
08/01/00	    Reform	50	0.250	0.005	0.005	0.005	0.005
08/01/00	    Rep	142	75.106	0.524	0.536	0.529	0.524
08/02/00	    Dem	35	16.561	0.471	0.476	0.473	0.475
08/02/00	    Reform	17	0.085	0.005	0.005	0.005	0.005
08/02/00	    Rep	58	30.315	0.520	0.524	0.523	0.520
08/03/00	    Dem	701	339.578	0.471	0.495	0.484	0.480
08/03/00	    Reform	152	0.997	0.006	0.008	0.007	0.006
08/03/00	    Rep	333	171.359	0.500	0.540	0.515	0.524
08/04/00	    Dem	784	376.538	0.468	0.490	0.480	0.478
08/04/00	    Reform	983	5.421	0.005	0.006	0.006	0.005
08/04/00	    Rep	710	371.070	0.510	0.540	0.523	0.510
08/05/00	    Dem	201	96.198	0.475	0.484	0.479	0.475
08/05/00	    Reform	130	0.549	0.004	0.005	0.004	0.005
08/05/00	    Rep	263	137.002	0.517	0.525	0.521	0.525
08/06/00	    Dem	257	121.663	0.471	0.475	0.473	0.471
08/06/00	    Reform	545	2.380	0.004	0.005	0.004	0.004
08/06/00	    Rep	377	197.895	0.515	0.525	0.525	0.515
08/07/00	    Dem	1,283	599.016	0.448	0.485	0.467	0.470
08/07/00	    Reform	1,029	4.166	0.004	0.005	0.004	0.004
08/07/00	    Rep	516	277.193	0.521	0.550	0.537	0.540
08/08/00	    Dem	414	197.213	0.458	0.490	0.476	0.476
08/08/00	    Reform	301	1.229	0.004	0.005	0.004	0.004
08/08/00	    Rep	260	137.824	0.520	0.539	0.530	0.520
08/09/00	    Dem	668	321.480	0.474	0.485	0.481	0.483
08/09/00	    Reform	175	0.770	0.004	0.005	0.004	0.004
08/09/00	    Rep	115	59.529	0.511	0.522	0.518	0.522
08/10/00	    Dem	256	124.246	0.482	0.489	0.485	0.485
08/10/00	    Reform	477	2.013	0.004	0.006	0.004	0.005
08/10/00	    Rep	509	259.083	0.501	0.524	0.509	0.507
08/11/00	    Dem	447	213.622	0.465	0.490	0.478	0.465
08/11/00	    Reform	17	0.084	0.004	0.005	0.005	0.004
08/11/00	    Rep	395	203.746	0.507	0.530	0.516	0.530
08/12/00	    Dem	329	158.154	0.468	0.493	0.481	0.480
08/12/00	    Reform	135	0.555	0.004	0.005	0.004	0.004
08/12/00	    Rep	128	66.574	0.520	0.527	0.520	0.520
08/13/00	    Dem	24	11.712	0.488	0.488	0.488	0.488
08/13/00	    Reform	100	0.500	0.005	0.005	0.005	0.005
08/13/00	    Rep	18	9.348	0.518	0.521	0.519	0.521
08/14/00	    Dem	482	229.660	0.469	0.486	0.476	0.484
08/14/00	    Reform	42	0.168	0.004	0.004	0.004	0.004
08/14/00	    Rep	85	44.188	0.517	0.529	0.520	0.517
08/15/00	    Dem	785	367.623	0.460	0.484	0.468	0.460
08/15/00	    Reform	802	3.228	0.004	0.005	0.004	0.004
08/15/00	    Rep	642	344.407	0.516	0.550	0.536	0.550
08/16/00	    Dem	628	283.755	0.444	0.465	0.452	0.445
08/16/00	    Reform	499	1.996	0.004	0.004	0.004	0.004
08/16/00	    Rep	663	365.272	0.533	0.558	0.551	0.558
08/17/00	    Dem	1,061	468.950	0.430	0.456	0.442	0.445
08/17/00	    Reform	864	3.458	0.004	0.005	0.004	0.004
08/17/00	    Rep	534	300.013	0.551	0.573	0.562	0.573
08/18/00	    Dem	729	318.135	0.421	0.447	0.436	0.435
08/18/00	    Reform	928	3.992	0.004	0.005	0.004	0.004
08/18/00	    Rep	1,304	738.755	0.555	0.585	0.567	0.560
08/19/00	    Dem	329	145.265	0.422	0.450	0.442	0.440
08/19/00	    Reform	222	0.888	0.004	0.005	0.004	0.004
08/19/00	    Rep	951	549.179	0.561	0.599	0.577	0.565
08/20/00	    Dem	289	130.098	0.428	0.460	0.450	0.444
08/20/00	    Reform	937	3.787	0.004	0.005	0.004	0.004
08/20/00	    Rep	615	353.813	0.540	0.599	0.575	0.557
08/21/00	    Dem	757	350.785	0.446	0.470	0.463	0.469
08/21/00	    Reform	876	3.504	0.004	0.004	0.004	0.004
08/21/00	    Rep	781	422.683	0.531	0.563	0.541	0.537
08/22/00	    Dem	1,178	560.299	0.467	0.480	0.476	0.475
08/22/00	    Reform	646	2.937	0.004	0.005	0.005	0.004
08/22/00	    Rep	139	73.358	0.520	0.537	0.528	0.520
08/23/00	    Dem	162	76.510	0.451	0.479	0.472	0.472
08/23/00	    Reform	514	2.156	0.004	0.005	0.004	0.005
08/23/00	    Rep	720	383.884	0.523	0.546	0.533	0.525
08/24/00	    Dem	57	26.895	0.465	0.474	0.472	0.472
08/24/00	    Reform	128	0.639	0.004	0.006	0.005	0.005
08/24/00	    Rep	105	55.325	0.525	0.528	0.527	0.525
08/25/00	    Dem	114	53.838	0.470	0.476	0.472	0.470
08/25/00	    Reform	402	2.011	0.005	0.006	0.005	0.005
08/25/00	    Rep	157	82.379	0.523	0.526	0.525	0.523
08/26/00	    Dem	593	287.865	0.474	0.495	0.485	0.487
08/26/00	    Reform	554	2.766	0.004	0.006	0.005	0.004
08/26/00	    Rep	236	123.182	0.518	0.523	0.522	0.518
08/27/00	    Dem	145	68.674	0.471	0.480	0.474	0.473
08/27/00	    Reform	419	1.676	0.004	0.004	0.004	0.004
08/27/00	    Rep	226	117.508	0.517	0.531	0.520	0.521
08/28/00	    Dem	241	115.088	0.470	0.481	0.478	0.480
08/28/00	    Reform	196	0.817	0.004	0.006	0.004	0.006
08/28/00	    Rep	810	418.549	0.501	0.532	0.517	0.511
08/29/00	    Dem	291	141.464	0.484	0.492	0.486	0.487
08/29/00	    Reform	469	2.697	0.004	0.007	0.006	0.006
08/29/00	    Rep	332	169.526	0.506	0.521	0.511	0.507
08/30/00	    Dem	85	41.764	0.487	0.494	0.491	0.487
08/30/00	    Reform	137	0.657	0.004	0.006	0.005	0.005
08/30/00	    Rep	41	20.834	0.508	0.514	0.508	0.508
08/31/00	    Dem	283	140.651	0.489	0.509	0.497	0.501
08/31/00	    Reform	359	1.655	0.004	0.006	0.005	0.004
08/31/00	    Rep	737	370.691	0.500	0.508	0.503	0.501
09/01/00	    Dem	672	335.140	0.493	0.513	0.499	0.513
09/01/00	    Reform	439	1.938	0.004	0.007	0.004	0.004
09/01/00	    Rep	458	231.788	0.490	0.519	0.506	0.517
09/02/00	    Dem	201	102.510	0.501	0.515	0.510	0.501
09/02/00	    Reform	74	0.296	0.004	0.004	0.004	0.004
09/02/00	    Rep	160	79.143	0.481	0.500	0.495	0.500
09/03/00	    Dem	324	162.019	0.500	0.503	0.500	0.500
09/03/00	    Reform	111	0.451	0.004	0.006	0.004	0.004
09/03/00	    Rep	259	128.492	0.495	0.500	0.496	0.495
09/04/00	    Dem	368	184.437	0.498	0.508	0.501	0.508
09/04/00	    Reform	232	1.147	0.004	0.005	0.005	0.005
09/04/00	    Rep	627	309.452	0.487	0.499	0.494	0.490
09/05/00	    Dem	656	332.570	0.500	0.518	0.507	0.511
09/05/00	    Reform	301	1.553	0.005	0.006	0.005	0.005
09/05/00	    Rep	580	282.832	0.474	0.496	0.488	0.478
09/06/00	    Dem	590	322.189	0.511	0.600	0.546	0.533
09/06/00	    Reform	157	0.718	0.003	0.006	0.005	0.004
09/06/00	    Rep	414	192.836	0.458	0.488	0.466	0.469
09/07/00	    Dem	1,319	746.042	0.543	0.588	0.566	0.560
09/07/00	    Reform	878	3.082	0.002	0.005	0.004	0.002
09/07/00	    Rep	2,287	1,031.960	0.427	0.480	0.451	0.438
09/08/00	    Dem	1,448	842.840	0.547	0.604	0.582	0.576
09/08/00	    Reform	69	0.150	0.002	0.003	0.002	0.003
09/08/00	    Rep	871	378.067	0.426	0.439	0.434	0.432
09/09/00	    Dem	404	230.584	0.562	0.575	0.571	0.562
09/09/00	    Reform	366	0.822	0.002	0.003	0.002	0.003
09/09/00	    Rep	612	263.759	0.424	0.439	0.431	0.439
09/10/00	    Dem	357	199.714	0.547	0.569	0.559	0.551
09/10/00	    Reform	1,360	2.770	0.002	0.003	0.002	0.002
09/10/00	    Rep	188	83.616	0.440	0.450	0.445	0.449
09/11/00	    Dem	1,197	692.269	0.553	0.599	0.578	0.585
09/11/00	    Reform	391	0.792	0.002	0.003	0.002	0.002
09/11/00	    Rep	742	322.743	0.426	0.445	0.435	0.426
09/12/00	    Dem	999	586.843	0.570	0.599	0.587	0.574
09/12/00	    Reform	946	1.914	0.002	0.003	0.002	0.002
09/12/00	    Rep	761	322.723	0.410	0.442	0.424	0.419
09/13/00	    Dem	532	314.614	0.575	0.599	0.591	0.595
09/13/00	    Reform	686	1.372	0.002	0.002	0.002	0.002
09/13/00	    Rep	1,136	460.181	0.395	0.437	0.405	0.401
09/14/00	    Dem	1,599	974.139	0.591	0.625	0.609	0.620
09/14/00	    Reform	244	0.489	0.002	0.003	0.002	0.002
09/14/00	    Rep	734	289.270	0.360	0.417	0.394	0.382
09/15/00	    Dem	1,450	932.641	0.623	0.650	0.643	0.650
09/15/00	    Reform	1,737	4.970	0.002	0.003	0.003	0.003
09/15/00	    Rep	1,596	581.482	0.351	0.388	0.364	0.370
09/16/00	    Dem	290	187.358	0.620	0.675	0.646	0.670
09/16/00	    Reform	1,387	1.774	0.001	0.003	0.001	0.003
09/16/00	    Rep	1,335	491.519	0.325	0.380	0.368	0.375
09/17/00	    Dem	72	47.123	0.644	0.656	0.654	0.656
09/17/00	    Reform	707	1.414	0.002	0.003	0.002	0.002
09/17/00	    Rep	599	198.788	0.305	0.355	0.332	0.342
09/18/00	    Dem	1,436	1,008.277	0.668	0.748	0.702	0.718
09/18/00	    Reform	349	0.638	0.001	0.003	0.002	0.001
09/18/00	    Rep	1,413	439.968	0.275	0.338	0.311	0.314
09/19/00	    Dem	1,737	1,200.952	0.670	0.728	0.691	0.699
09/19/00	    Reform	1,773	3.389	0.001	0.002	0.002	0.002
09/19/00	    Rep	734	239.427	0.282	0.360	0.326	0.324
09/20/00	    Dem	1,438	934.879	0.605	0.698	0.650	0.605
09/20/00	    Reform	9,980	30.015	0.002	0.004	0.003	0.002
09/20/00	    Rep	2,228	808.563	0.320	0.435	0.363	0.390
